Tabulated Kremer-Grest potential
Columns are R, F(r)/r and U(r)
Header reads: N_pts, r_min and r_max (r_max is also r_cutoff)
# 10000 0.500000 1.499900
0.510900 -576281.450438 12428.445753
0.511000 -574698.450580 12399.041150
0.511100 -573120.100150 12369.711572
0.511200 -571546.384598 12340.456813
0.511300 -569977.289421 12311.276669
0.511400 -568412.800167 12282.170935
0.511500 -566852.902428 12253.139408
0.511600 -565297.581848 12224.181884
0.511700 -563746.824116 12195.298159
0.511800 -562200.614968 12166.488034
0.511900 -560658.940190 12137.751305
0.512000 -559121.785613 12109.087771
0.512100 -557589.137116 12080.497234
0.512200 -556060.980624 12051.979492
0.512300 -554537.302109 12023.534347
0.512400 -553018.087591 11995.161600
0.512500 -551503.323134 11966.861053
0.512600 -549992.994850 11938.632509
0.512700 -548487.088896 11910.475771
0.512800 -546985.591474 11882.390643
0.512900 -545488.488835 11854.376929
0.513000 -543995.767272 11826.434434
0.513100 -542507.413125 11798.562963
0.513200 -541023.412779 11770.762323
0.513300 -539543.752663 11743.032320
0.513400 -538068.419254 11715.372762
0.513500 -536597.399071 11687.783455
0.513600 -535130.678678 11660.264209
0.513700 -533668.244684 11632.814832
0.513800 -532210.083742 11605.435133
0.513900 -530756.182548 11578.124923
0.514000 -529306.527845 11550.884013
0.514100 -527861.106417 11523.712212
0.514200 -526419.905093 11496.609334
0.514300 -524982.910745 11469.575189
0.514400 -523550.110288 11442.609592
0.514500 -522121.490681 11415.712354
0.514600 -520697.038926 11388.883290
0.514700 -519276.742068 11362.122215
0.514800 -517860.587193 11335.428942
0.514900 -516448.561433 11308.803289
0.515000 -515040.651959 11282.245070
0.515100 -513636.845986 11255.754102
0.515200 -512237.130772 11229.330202
0.515300 -510841.493615 11202.973188
0.515400 -509449.921856 11176.682877
0.515500 -508062.402877 11150.459090
0.515600 -506678.924104 11124.301644
0.515700 -505299.473001 11098.210359
0.515800 -503924.037075 11072.185056
0.515900 -502552.603875 11046.225555
0.516000 -501185.160989 11020.331678
0.516100 -499821.696047 10994.503247
0.516200 -498462.196720 10968.740083
0.516300 -497106.650719 10943.042010
0.516400 -495755.045796 10917.408850
0.516500 -494407.369742 10891.840428
0.516600 -493063.610390 10866.336569
0.516700 -491723.755612 10840.897096
0.516800 -490387.793319 10815.521836
0.516900 -489055.711463 10790.210614
0.517000 -487727.498036 10764.963256
0.517100 -486403.141069 10739.779591
0.517200 -485082.628630 10714.659444
0.517300 -483765.948831 10689.602643
0.517400 -482453.089818 10664.609019
0.517500 -481144.039779 10639.678398
0.517600 -479838.786940 10614.810610
0.517700 -478537.319566 10590.005487
0.517800 -477239.625959 10565.262856
0.517900 -475945.694462 10540.582551
0.518000 -474655.513454 10515.964401
0.518100 -473369.071353 10491.408240
0.518200 -472086.356614 10466.913898
0.518300 -470807.357731 10442.481210
0.518400 -469532.063237 10418.110007
0.518500 -468260.461699 10393.800125
0.518600 -466992.541724 10369.551398
0.518700 -465728.291955 10345.363659
0.518800 -464467.701075 10321.236745
0.518900 -463210.757801 10297.170490
0.519000 -461957.450887 10273.164732
0.519100 -460707.769125 10249.219307
0.519200 -459461.701345 10225.334052
0.519300 -458219.236410 10201.508804
0.519400 -456980.363222 10177.743402
0.519500 -455745.070720 10154.037684
0.519600 -454513.347876 10130.391489
0.519700 -453285.183700 10106.804657
0.519800 -452060.567240 10083.277027
0.519900 -450839.487575 10059.808440
0.520000 -449621.933825 10036.398737
0.520100 -448407.895140 10013.047759
0.520200 -447197.360710 9989.755348
0.520300 -445990.319759 9966.521345
0.520400 -444786.761545 9943.345595
0.520500 -443586.675361 9920.227939
0.520600 -442390.050537 9897.168222
0.520700 -441196.876437 9874.166287
0.520800 -440007.142459 9851.221979
0.520900 -438820.838035 9828.335143
0.521000 -437637.952634 9805.505624
0.521100 -436458.475756 9782.733269
0.521200 -435282.396938 9760.017922
0.521300 -434109.705750 9737.359432
0.521400 -432940.391795 9714.757644
0.521500 -431774.444713 9692.212408
0.521600 -430611.854173 9669.723570
0.521700 -429452.609883 9647.290979
0.521800 -428296.701580 9624.914484
0.521900 -427144.119037 9602.593935
0.522000 -425994.852059 9580.329181
0.522100 -424848.890485 9558.120073
0.522200 -423706.224188 9535.966460
0.522300 -422566.843070 9513.868194
0.522400 -421430.737071 9491.825128
0.522500 -420297.896161 9469.837111
0.522600 -419168.310341 9447.903997
0.522700 -418041.969649 9426.025639
0.522800 -416918.864151 9404.201890
0.522900 -415798.983947 9382.432603
0.523000 -414682.319171 9360.717632
0.523100 -413568.859985 9339.056832
0.523200 -412458.596586 9317.450058
0.523300 -411351.519204 9295.897165
0.523400 -410247.618096 9274.398008
0.523500 -409146.883554 9252.952444
0.523600 -408049.305903 9231.560329
0.523700 -406954.875494 9210.221521
0.523800 -405863.582716 9188.935876
0.523900 -404775.417983 9167.703252
0.524000 -403690.371744 9146.523507
0.524100 -402608.434478 9125.396501
0.524200 -401529.596695 9104.322091
0.524300 -400453.848934 9083.300138
0.524400 -399381.181768 9062.330501
0.524500 -398311.585797 9041.413040
0.524600 -397245.051654 9020.547615
0.524700 -396181.570001 8999.734089
0.524800 -395121.131530 8978.972321
0.524900 -394063.726966 8958.262175
0.525000 -393009.347059 8937.603511
0.525100 -391957.982594 8916.996193
0.525200 -390909.624383 8896.440084
0.525300 -389864.263267 8875.935046
0.525400 -388821.890120 8855.480944
0.525500 -387782.495842 8835.077642
0.525600 -386746.071363 8814.725004
0.525700 -385712.607645 8794.422895
0.525800 -384682.095677 8774.171181
0.525900 -383654.526477 8753.969726
0.526000 -382629.891092 8733.818397
0.526100 -381608.180600 8713.717061
